,NVDA,AAPL,GOOGL,MSFT,AVGO,META,NFLX,ORCL,AMD,CSCO,GE,INTC,VZ,T,CRM,DIS,BA,QCOM,CMCSA
2018-04-02,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.03443985996689037,0.15812448244219593,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.04847891934952922,0.15812448244219593,0.03443985996689037,0.04847891934952922
2018-07-02,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.03443985996689037,0.15812448244219593,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.04847891934952922,0.15812448244219593,0.03443985996689037,0.04847891934952922
2018-10-01,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.03443985996689037,0.15812448244219593,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.04847891934952922,0.15812448244219593,0.03443985996689037,0.04847891934952922
2019-01-02,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.03443985996689037,0.15812448244219593,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.04847891934952922,0.15812448244219593,0.03443985996689037,0.04847891934952922
2019-04-01,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.03443985996689037,0.15812448244219593,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.04847891934952922,0.15812448244219593,0.03443985996689037,0.04847891934952922
2019-07-01,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.03443985996689037,0.15812448244219593,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.04847891934952922,0.15812448244219593,0.03443985996689037,0.04847891934952922
2019-10-01,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.03443985996689037,0.15812448244219593,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.04847891934952922,0.15812448244219593,0.03443985996689037,0.04847891934952922
2020-01-02,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.03443985996689037,0.15812448244219593,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.04847891934952922,0.15812448244219593,0.03443985996689037,0.04847891934952922
2020-04-01,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.03443985996689037,0.15812448244219593,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.04847891934952922,0.15812448244219593,0.03443985996689037,0.04847891934952922
2020-07-01,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.03443985996689037,0.03443985996689037,0.15812448244219593,0.03443985996689037,0.04847891934952922,0.04847891934952922,0.03443985996689037,0.04847891934952922,0.15812448244219593,0.03443985996689037,0.04847891934952922
